,feature_name,feature_value,precision,recall,fbeta
Handlers-cleaners,occupation,Handlers-cleaners,0.625,0.25,0.35714285714285715
Priv-house-serv,occupation,Priv-house-serv,0.5,1.0,0.6666666666666666
Husband,relationship,Husband,0.7333333333333333,0.6782094594594594,0.7046950416849496
Own-child,relationship,Own-child,0.5714285714285714,0.36363636363636365,0.4444444444444444
Wife,relationship,Wife,0.7480916030534351,0.6125,0.6735395189003437
Unmarried,relationship,Unmarried,0.8260869565217391,0.3584905660377358,0.5
Other-relative,relationship,Other-relative,0.4,0.2222222222222222,0.2857142857142857
Not-in-family,relationship,Not-in-family,0.6923076923076923,0.41721854304635764,0.5206611570247935
White,race,White,0.7328990228013029,0.6302521008403361,0.6777108433734941
Black,race,Black,0.7066666666666667,0.6385542168674698,0.6708860759493671
Asian-Pac-Islander,race,Asian-Pac-Islander,0.7368421052631579,0.5833333333333334,0.6511627906976745
Amer-Indian-Eskimo,race,Amer-Indian-Eskimo,0.75,1.0,0.8571428571428571
Other,race,Other,0.7142857142857143,0.8333333333333334,0.7692307692307692
Male,sex,Male,0.7285106382978723,0.6499620349278664,0.6869983948635635
Female,sex,Female,0.751412429378531,0.5298804780876494,0.6214953271028036
United-States,native-country,United-States,0.7312952534191473,0.6343335659455688,0.679372197309417
Jamaica,native-country,Jamaica,1.0,0.0,0.0
El-Salvador,native-country,El-Salvador,1.0,1.0,1.0
England,native-country,England,1.0,0.5,0.6666666666666666
China,native-country,China,1.0,1.0,1.0
Honduras,native-country,Honduras,1.0,1.0,1.0
Nicaragua,native-country,Nicaragua,0.0,1.0,0.0
Hong,native-country,Hong,1.0,1.0,1.0
Philippines,native-country,Philippines,0.75,0.75,0.75
?,native-country,?,0.7741935483870968,0.7741935483870968,0.7741935483870968
Haiti,native-country,Haiti,0.0,1.0,0.0
Canada,native-country,Canada,0.25,0.2,0.22222222222222224
Mexico,native-country,Mexico,0.8,0.36363636363636365,0.5000000000000001
Hungary,native-country,Hungary,0.0,1.0,0.0
Columbia,native-country,Columbia,1.0,1.0,1.0
Italy,native-country,Italy,0.5,0.25,0.3333333333333333
South,native-country,South,1.0,0.3333333333333333,0.5
France,native-country,France,1.0,0.6666666666666666,0.8
Cuba,native-country,Cuba,0.6666666666666666,0.4,0.5
Japan,native-country,Japan,0.8,0.8,0.8000000000000002
Greece,native-country,Greece,0.5,1.0,0.6666666666666666
Vietnam,native-country,Vietnam,1.0,1.0,1.0
Germany,native-country,Germany,0.5714285714285714,0.5,0.5333333333333333
Guatemala,native-country,Guatemala,1.0,1.0,1.0
Dominican-Republic,native-country,Dominican-Republic,1.0,1.0,1.0
Poland,native-country,Poland,0.5,0.5,0.5
Ireland,native-country,Ireland,1.0,0.5,0.6666666666666666
India,native-country,India,0.7142857142857143,0.625,0.6666666666666666
Scotland,native-country,Scotland,1.0,1.0,1.0
Laos,native-country,Laos,0.0,1.0,0.0
Puerto-Rico,native-country,Puerto-Rico,0.0,0.0,0.0
Taiwan,native-country,Taiwan,1.0,0.6666666666666666,0.8
Iran,native-country,Iran,0.75,0.6,0.6666666666666665
Ecuador,native-country,Ecuador,1.0,0.5,0.6666666666666666
Trinadad&Tobago,native-country,Trinadad&Tobago,1.0,0.0,0.0
Peru,native-country,Peru,1.0,1.0,1.0
Yugoslavia,native-country,Yugoslavia,1.0,0.75,0.8571428571428571
Outlying-US(Guam-USVI-etc),native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
Portugal,native-country,Portugal,1.0,1.0,1.0
Cambodia,native-country,Cambodia,1.0,0.25,0.4
Thailand,native-country,Thailand,1.0,1.0,1.0
